2026-09-26 16:01:37,300 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-26 16:01:37,301 | INFO | hr_assistant.pipeline | Vector store already exists on disk, reusing it
2026-09-26 16:01:37,301 | INFO | hr_assistant.vector_store | Loading FAISS index from 'data\faiss_index'
2026-09-26 16:01:37,302 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-09-26 16:01:37,308 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-09-26 16:01:37,309 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-09-26 16:01:37,309 | INFO | faiss.loader | Loading faiss.
2026-09-26 16:01:37,356 | INFO | faiss.loader | Successfully loaded faiss.
2026-09-26 16:01:37,433 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-09-26 16:01:37,449 | INFO | hr_assistant.llm | Initializing LLM 'openai/gpt-oss-20b'
2026-09-26 16:01:37,955 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-26 16:01:37,959 | INFO | hr_assistant.agent | HR agent ready
2026-09-26 16:01:37,960 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-09-26 16:01:54,055 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-26 16:01:54,059 | INFO | hr_assistant.pipeline | User question: hi
2026-09-26 16:01:54,950 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-26 16:01:54,996 | INFO | hr_assistant.pipeline | Final answer: Hello! 👋 How can I help you today?
2026-09-26 16:02:17,306 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-26 16:02:17,311 | INFO | hr_assistant.pipeline | User question: what company are you working for
2026-09-26 16:02:18,027 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-26 16:02:18,035 | INFO | hr_assistant.pipeline | Final answer: I’m sorry, but I don’t have that information.
2026-09-26 16:02:37,403 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-26 16:02:37,406 | INFO | hr_assistant.pipeline | User question: how many leaves are there
2026-09-26 16:02:38,191 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-26 16:02:38,201 | INFO | hr_assistant.tools | search_hr_policy called with query: how many leaves are there
2026-09-26 16:02:38,901 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-26 16:02:39,258 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-26 16:02:39,264 | INFO | hr_assistant.pipeline | Final answer: According to the company’s HR policy:

| Leave type | Entitlement per calendar year |
|------------|------------------------------|
| **Paid annual leave** | 20 days |
| **Paid sick leave** | 10 days |

So, full‑time employees are entitled to **20 days of annual leave** and **10 days of sick leave** each year (for a total of 30 leave days, not counting any carry‑forward or public holidays).
